origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV169_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.198512,0.114259,-3329.18,-3393.19,9.20381e-06,1.27,NA,NA,NA,NA
placements,ASV64_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.324124,0.915988,-3568.23,-3606.22,0.0524404,0.593348,NA,NA,NA,NA
placements,ASV40_Turbellaria_Acoelomorpha_Archaphanostoma_Archaphanostoma_agile,1,53,0.17652,0.196014,-3569.13,-3626.26,6.25781e-06,1.13053,NA,NA,NA,NA
placements,ASV147_Turbellaria_Acoelomorpha_Archaphanostoma_Archaphanostoma_agile,1,53,0.17652,0.196014,-3569.13,-3626.26,6.25781e-06,1.13053,NA,NA,NA,NA
placements,ASV185_Turbellaria_Prolecithophora_Cylindrostoma_Cylindrostoma_gracilis,1,142,0.554282,0.881226,-3487.62,-3520.89,0.174266,0.524395,NA,NA,NA,NA
placements,ASV91_Turbellaria_Rhabdocoela_Odontorhynchus_Odontorhynchus_aculeatus,1,49,0.355421,0.737586,-3560.6,-3585.27,0.0700205,0.328962,NA,NA,NA,NA
placements,ASV155_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.366422,0.925255,-3437.51,-3473.97,0.0524597,0.571355,NA,NA,NA,NA
placements,ASV88_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.476368,0.867676,-3599.69,-3638.9,0.0557185,0.617038,NA,NA,NA,NA
placements,ASV177_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,63,0.781975,0.0458918,-3717.69,-3840.91,9.14152e-06,1.99999,NA,NA,NA,NA
placements,ASV120_Turbellaria_Acoelomorpha_Avagina_Avagina_sp.,1,49,0.113042,0.153887,-3382.16,-3455.67,0.0804797,1.6909,NA,NA,NA,NA
placements,ASV132_Turbellaria_Catenulida_Stenostomum_Stenostomum_leucops,1,140,0.392079,0.479061,-3387.49,-3389.31,5.09128e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV108_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.363702,0.92447,-3465.38,-3501.28,0.0519693,0.558697,NA,NA,NA,NA
placements,ASV69_Turbellaria_Rhabdocoela_Thalassoplanella_Thalassoplanella_collaris,1,147,0.0811373,0.167391,-3663.72,-3708.68,0.0138741,0.766662,NA,NA,NA,NA
placements,ASV54_Turbellaria_Rhabdocoela_Placorhynchus_Placorhynchus_octaculeatus,1,49,0.533716,0.905948,-3618.55,-3647.05,0.0594829,0.405829,NA,NA,NA,NA
placements,ASV29_Turbellaria_Macrostomorpha_Microstomum_Microstomum_papillosum,1,181,0.99275,0.974835,-3364.91,-3366.97,6.68946e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV62_Turbellaria_Acoelomorpha_Archaphanostoma_Archaphanostoma_agile,1,134,0.152086,0.249975,-3534.26,-3588.78,0.0300451,1.09074,NA,NA,NA,NA
placements,ASV143_Turbellaria_Macrostomorpha_Myozonaria_Myozonaria_fissipara,1,42,1,1,-3408.65,-3411.04,0.00987628,0.0237293,NA,NA,NA,NA
placements,ASV186_Turbellaria_Prolecithophora_Ulianinia_Ulianinia_mollissima,1,142,0.244241,0.84237,-3571.76,-3616.59,0.204687,0.822323,NA,NA,NA,NA
placements,ASV127_Turbellaria_Rhabdocoela_Gnathorhynchus_Gnathorhynchus_inermis,1,145,0.132924,0.202067,-3594.71,-3626.83,0.00643341,0.477493,NA,NA,NA,NA
placements,ASV92_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.369417,0.921225,-3509.32,-3546.67,0.0522244,0.586767,NA,NA,NA,NA
placements,ASV55_Turbellaria_Acoelomorpha_Postaphanostoma_Postaphanostoma_nilssoni,1,58,0.218552,0.300133,-3705.95,-3786.43,0.0160775,1.7942,NA,NA,NA,NA
placements,ASV52_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,49,0.16937,0.350719,-3584.35,-3610.42,0.0566648,0.352109,NA,NA,NA,NA
placements,ASV148_Turbellaria_Acoelomorpha_Paramecynostomum_Paramecynostomum_sp.,1,144,0.129321,0.279136,-2758.42,-2834.98,0.00835416,1.84443,NA,NA,NA,NA
placements,ASV112_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,142,0.397912,0.959685,-3351.52,-3391.95,0.172736,0.716047,NA,NA,NA,NA
placements,ASV190_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,49,0.767532,0.934882,-3530.55,-3551.46,0.055243,0.270699,NA,NA,NA,NA
placements,ASV3_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.152588,0.0954864,-3658.13,-3723.84,9.20381e-06,1.34141,NA,NA,NA,NA
placements,ASV159_Turbellaria_Rhabdocoela_Brinkmanniella_Brinkmanniella_palmata,1,139,0.183495,0.925389,-3627.09,-3662.64,0.122026,0.563102,NA,NA,NA,NA
placements,ASV5_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.205927,0.110569,-3323.56,-3385.53,9.20381e-06,1.20611,NA,NA,NA,NA
placements,ASV188_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.0751603,0.000722221,-2894.6,-2951.7,9.20381e-06,1.07449,NA,NA,NA,NA
placements,ASV126_Turbellaria_Rhabdocoela_Graffilla_Graffilla_buccinicola,1,144,0.195593,0.29028,-3443.17,-3494.89,0.000620875,0.997775,NA,NA,NA,NA
placements,ASV31_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,134,0.253732,0.290909,-3578.79,-3602.58,0.0541702,0.319798,NA,NA,NA,NA
placements,ASV51_Turbellaria_Acoelomorpha_Avagina_Avagina_sp.,1,49,0.0706126,0.122503,-3496.48,-3566.08,0.0762504,1.5117,NA,NA,NA,NA
