origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV8_Turbellaria_Rhabdocoela_Thalassoplanella_Thalassoplanella_collaris,1,710,1,1,-21624,-21627,0.0332277,0.0641871,NA,NA,NA,NA
placements,ASV62_Turbellaria_Acoelomorpha_Archaphanostoma_Archaphanostoma_agile,1,408,0.814778,0.866983,-20999.1,-21028.6,0.0850517,1.14509,NA,NA,NA,NA
placements,ASV207_Monogenea_Monopisthocotylea_Leptocotyle_Leptocotyle_minor,1,408,0.694399,0.221247,-15491.9,-15528.7,0.0707137,1.6374,NA,NA,NA,NA
placements,ASV200_Turbellaria_Rhabdocoela_Brinkmanniella_Brinkmanniella_palmata,1,713,1,1,-21411,-21414.9,0.163063,0.0855868,NA,NA,NA,NA
placements,ASV145_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,408,0.305607,0.220899,-18925,-18975.8,0.0983659,1.99999,NA,NA,NA,NA
placements,ASV25_Trematoda_Digenea_Choanocotyle_Choanocotyle_platti,1,498,0.298151,0.417517,-2804.15,-2863.98,7.36015e-06,1.99999,NA,NA,NA,NA
placements,ASV170_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.598944,0.643028,-20298.6,-20330.3,0.101869,1.24531,NA,NA,NA,NA
placements,ASV36_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21625.4,-21628.2,6.50911e-06,0.00328071,NA,NA,NA,NA
placements,ASV128_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,16,1,1,-21439.2,-21442.8,0.00247426,6.11352e-06,NA,NA,NA,NA
placements,ASV24_Turbellaria_Macrostomorpha_Microstomum_Microstomum_papillosum,1,408,0.931098,0.976025,-20266,-20271.5,0.0802259,0.162117,NA,NA,NA,NA
placements,ASV136_Turbellaria_Macrostomorpha_Bradynectes_Bradynectes_sterreri,1,408,0.935235,0.968293,-20429.3,-20434.3,0.0919133,0.139751,NA,NA,NA,NA
placements,ASV40_Turbellaria_Acoelomorpha_Archaphanostoma_Archaphanostoma_agile,1,408,0.721567,0.739968,-21064.3,-21097.3,0.0923265,1.30773,NA,NA,NA,NA
placements,ASV89_Turbellaria_Rhabdocoela_Polycystis_Polycystis_naegelii,1,473,0.993955,0.998367,-20844.1,-20846.1,0.0315565,0.0297513,NA,NA,NA,NA
